time,value
00:00,5960.080
00:05,5932.930
00:10,5877.110
00:15,5886.320
00:20,5849.770
00:25,5837.720
00:30,5803.100
00:35,5770.170
00:40,5752.650
00:45,5728.230
00:50,5695.650
00:55,5668.970
01:00,5655.250
01:05,5612.040
01:10,5595.920
01:15,5553.490
01:20,5512.840
01:25,5490.060
01:30,5452.320
01:35,5435.180
01:40,5413.270
01:45,5378.050
01:50,5361.650
01:55,5336.120
02:00,5296.930
02:05,5243.140
02:10,5213.430
02:15,5198.810
02:20,5172.070
02:25,5149.940
02:30,5132.490
02:35,5099.790
02:40,5091.920
02:45,5067.220
02:50,5031.850
02:55,5022.670
03:00,4996.720
03:05,4965.420
03:10,4936.590
03:15,4918.060
03:20,4910.300
03:25,4866.780
03:30,4849.620
03:35,4834.510
03:40,4812.680
03:45,4767.210
03:50,4760.570
03:55,4726.080
04:00,4718.620
04:05,4675.400
04:10,4658.270
04:15,4641.360
04:20,4629.890
04:25,4596.350
04:30,4580.980
04:35,4572.410
04:40,4554.700
04:45,4545.550
04:50,4524.860
04:55,4488.710
05:00,4469.410
05:05,4454.350
05:10,4439.780
05:15,4412.010
05:20,4382.870
05:25,4348.710
05:30,4325.810
05:35,4288.460
05:40,4273.230
05:45,4229.660
05:50,4216.060
05:55,4180.890
06:00,4207.670
06:05,4203.890
06:10,4167.240
06:15,4198.310
06:20,4174.240
06:25,4166.850
06:30,4159.710
06:35,4171.680
06:40,4166.140
06:45,4161.910
06:50,4133.320
06:55,4122.500
07:00,4131.740
07:05,4092.680
07:10,4157.660
07:15,4163.570
07:20,4121.430
07:25,4145.760
07:30,4097.150
07:35,4166.960
07:40,4148.310
07:45,4129.110
07:50,4149.800
07:55,4108.310
08:00,4133.170
08:05,4141.440
08:10,4131.940
08:15,4167.390
08:20,4199.410
08:25,4231.320
08:30,4188.780
08:35,4179.390
08:40,4196.350
08:45,4226.840
08:50,4239.990
08:55,4241.400
09:00,4259.360
09:05,4289.480
09:10,4317.010
09:15,4419.510
09:20,4446.610
09:25,4529.550
09:30,4556.920
09:35,4592.020
09:40,4624.030
09:45,4752.660
09:50,4722.960
09:55,4790.860
10:00,4805.340
10:05,4865.290
10:10,4854.650
10:15,4916.620
10:20,4995.820
10:25,4980.580
10:30,5084.060
10:35,5062.590
10:40,5108.420
10:45,5089.260
10:50,5123.460
10:55,5110.280
11:00,5146.980
11:05,5211.140
11:10,5272.760
11:15,5240.750
11:20,5239.830
11:25,5266.590
11:30,5265.250
11:35,5279.660
11:40,5264.990
11:45,5320.430
11:50,5378.960
11:55,5343.750
12:00,5347.790
12:05,5390.890
12:10,5351.800
12:15,5358.350
12:20,5414.600
12:25,5418.640
12:30,5437.190
12:35,5475.050
12:40,5457.670
12:45,5472.180
12:50,5475.740
12:55,5510.370
13:00,5476.980
13:05,5425.740
13:10,5382.140
13:15,5445.570
13:20,5442.480
13:25,5423.850
13:30,5514.760
13:35,5530.520
13:40,5590.210
13:45,5637.640
13:50,5655.350
13:55,5737.430
14:00,5837.340
14:05,5812.320
14:10,5877.500
14:15,5917.540
14:20,5976.520
14:25,6002.950
14:30,6046.110
14:35,6103.900
14:40,6135.420
14:45,6145.180
14:50,6171.090
14:55,6190.830
15:00,6167.620
15:05,6232.600
15:10,6182.870
15:15,6252.550
15:20,6203.460
15:25,6226.820
15:30,6203.310
15:35,6242.860
15:40,6189.760
15:45,6186.900
15:50,6198.310
15:55,6186.630
16:00,6189.870
16:05,6152.410
16:10,6151.020
16:15,6087.690
16:20,6111.370
16:25,6094.300
16:30,6042.930
16:35,6010.550
16:40,5977.520
16:45,5972.430
16:50,5977.190
16:55,5972.400
17:00,5923.460
17:05,5911.100
17:10,5848.020
17:15,5856.540
17:20,5848.060
17:25,5803.280
17:30,5748.230
17:35,5715.590
17:40,5666.610
17:45,5631.530
17:50,5565.290
17:55,5524.070
18:00,5474.770
18:05,5456.820
18:10,5314.330
18:15,5322.960
18:20,5288.500
18:25,5286.880
18:30,5240.930
18:35,5226.710
18:40,5253.570
18:45,5238.950
18:50,5222.960
18:55,5211.000
19:00,5239.500
19:05,5212.230
19:10,5228.920
19:15,5253.260
19:20,5262.450
19:25,5265.720
19:30,5255.420
19:35,5280.460
19:40,5237.350
19:45,5326.240
19:50,5292.350
19:55,5300.390
20:00,5261.680
20:05,5276.860
20:10,5216.980
20:15,5264.280
20:20,5277.800
20:25,5307.210
20:30,5321.740
20:35,5323.680
20:40,5319.940
20:45,5323.430
20:50,5371.880
20:55,5347.190
21:00,5343.010
21:05,5323.620
21:10,5375.280
21:15,5444.750
21:20,5430.490
21:25,5499.780
21:30,5533.140
21:35,5558.620
21:40,5589.670
21:45,5641.500
21:50,5679.360
21:55,5730.160
22:00,5772.260
22:05,5782.490
22:10,5808.290
22:15,5855.820
22:20,5930.320
22:25,5974.420
22:30,6040.880
22:35,6044.540
22:40,6098.850
22:45,6092.870
22:50,6121.760
22:55,6160.920
23:00,6174.320
23:05,6201.890
23:10,6172.460
23:15,6181.480
23:20,6179.080
23:25,6195.380
23:30,6156.460
23:35,6148.140
23:40,6119.110
23:45,6122.100
23:50,6081.350
23:55,6048.110
