time,value
00:00,5978.890
00:05,5936.120
00:10,5924.280
00:15,5903.820
00:20,5879.750
00:25,5869.410
00:30,5889.540
00:35,5862.570
00:40,5834.230
00:45,5827.900
00:50,5802.400
00:55,5767.430
01:00,5767.060
01:05,5717.400
01:10,5690.830
01:15,5648.470
01:20,5633.910
01:25,5629.680
01:30,5590.790
01:35,5570.520
01:40,5549.320
01:45,5513.520
01:50,5510.580
01:55,5491.740
02:00,5457.410
02:05,5442.070
02:10,5393.110
02:15,5378.290
02:20,5337.030
02:25,5313.540
02:30,5281.420
02:35,5240.070
02:40,5227.420
02:45,5203.170
02:50,5197.860
02:55,5156.640
03:00,5138.300
03:05,5112.230
03:10,5081.060
03:15,5059.960
03:20,5028.970
03:25,5002.210
03:30,4978.080
03:35,4961.490
03:40,4913.220
03:45,4898.120
03:50,4882.710
03:55,4869.530
04:00,4851.410
04:05,4836.980
04:10,4804.210
04:15,4784.880
04:20,4766.680
04:25,4764.880
04:30,4741.850
04:35,4725.800
04:40,4706.430
04:45,4675.510
04:50,4678.990
04:55,4658.870
05:00,4649.840
05:05,4641.590
05:10,4618.610
05:15,4601.440
05:20,4568.910
05:25,4545.690
05:30,4521.440
05:35,4489.820
05:40,4435.080
05:45,4407.950
05:50,4389.420
05:55,4351.010
06:00,4318.820
06:05,4309.450
06:10,4281.280
06:15,4272.780
06:20,4282.980
06:25,4270.960
06:30,4246.000
06:35,4222.670
06:40,4208.760
06:45,4188.200
06:50,4175.270
06:55,4186.660
07:00,4153.180
07:05,4137.020
07:10,4125.610
07:15,4098.130
07:20,4084.680
07:25,4072.040
07:30,4043.040
07:35,4018.180
07:40,3995.690
07:45,3985.440
07:50,3961.800
07:55,3959.590
08:00,3958.460
08:05,3915.380
08:10,3898.040
08:15,3908.070
08:20,3869.510
08:25,3863.730
08:30,3856.150
08:35,3820.750
08:40,3818.250
08:45,3814.630
08:50,3814.330
08:55,3818.440
09:00,3799.710
09:05,3820.730
09:10,3818.310
09:15,3849.130
09:20,3873.250
09:25,3924.490
09:30,3929.050
09:35,3938.700
09:40,3981.920
09:45,3981.380
09:50,3995.850
09:55,4016.850
10:00,4019.800
10:05,4033.140
10:10,4082.870
10:15,4098.700
10:20,4117.030
10:25,4137.310
10:30,4154.380
10:35,4174.690
10:40,4234.410
10:45,4246.000
10:50,4281.980
10:55,4325.070
11:00,4350.330
11:05,4313.010
11:10,4322.000
11:15,4351.220
11:20,4403.150
11:25,4368.870
11:30,4396.080
11:35,4456.140
11:40,4482.540
11:45,4487.680
11:50,4509.250
11:55,4557.190
12:00,4562.570
12:05,4602.420
12:10,4622.060
12:15,4620.710
12:20,4671.240
12:25,4692.530
12:30,4673.920
12:35,4706.690
12:40,4723.800
12:45,4766.290
12:50,4788.790
12:55,4785.380
13:00,4775.330
13:05,4741.390
13:10,4773.700
13:15,4781.270
13:20,4803.900
13:25,4847.040
13:30,4840.350
13:35,4895.830
13:40,4909.220
13:45,4991.740
13:50,5008.160
13:55,5023.990
14:00,5081.000
14:05,5061.710
14:10,5143.560
14:15,5179.490
14:20,5244.780
14:25,5269.820
14:30,5297.700
14:35,5347.830
14:40,5348.730
14:45,5364.710
14:50,5431.210
14:55,5406.860
15:00,5450.540
15:05,5469.650
15:10,5469.230
15:15,5473.880
15:20,5476.090
15:25,5483.580
15:30,5473.400
15:35,5483.980
15:40,5517.730
15:45,5498.130
15:50,5530.900
15:55,5499.210
16:00,5464.890
16:05,5488.010
16:10,5422.520
16:15,5450.150
16:20,5410.030
16:25,5368.250
16:30,5371.960
16:35,5351.790
16:40,5308.190
16:45,5265.630
16:50,5241.840
16:55,5216.920
17:00,5221.000
17:05,5194.860
17:10,5167.440
17:15,5143.020
17:20,5074.770
17:25,5080.340
17:30,5028.300
17:35,5021.560
17:40,4968.860
17:45,4939.860
17:50,4933.950
17:55,4890.310
18:00,4872.680
18:05,4883.220
18:10,4853.240
18:15,4808.050
18:20,4821.080
18:25,4803.170
18:30,4763.810
18:35,4475.470
18:40,4667.120
18:45,4721.270
18:50,4755.340
18:55,4704.840
19:00,4751.090
19:05,4772.340
19:10,4751.200
19:15,4807.570
19:20,4794.290
19:25,4827.710
19:30,4829.280
19:35,4839.260
19:40,4861.660
19:45,4871.530
19:50,4887.200
19:55,4895.900
20:00,4884.270
20:05,4894.750
20:10,4901.530
20:15,4900.400
20:20,4934.920
20:25,4941.530
20:30,4972.950
20:35,4963.100
20:40,4982.490
20:45,4988.320
20:50,5015.860
20:55,5036.720
21:00,5048.040
21:05,5085.470
21:10,5046.030
21:15,5129.130
21:20,5193.430
21:25,5220.470
21:30,5264.260
21:35,5339.270
21:40,5353.080
21:45,5412.810
21:50,5472.730
21:55,5493.810
22:00,5548.030
22:05,5595.570
22:10,5594.600
22:15,5664.030
22:20,5743.460
22:25,5782.500
22:30,5834.370
22:35,5870.920
22:40,5897.980
22:45,5950.340
22:50,5949.150
22:55,5995.040
23:00,5991.330
23:05,5978.490
23:10,5976.200
23:15,5993.320
23:20,6045.620
23:25,5990.360
23:30,6002.620
23:35,6022.510
23:40,5989.540
23:45,6003.030
23:50,5995.990
