time,value
00:00,5404.830
00:05,5385.500
00:10,5373.240
00:15,5355.590
00:20,5327.400
00:25,5314.250
00:30,5272.380
00:35,5240.570
00:40,5219.670
00:45,5210.960
00:50,5179.240
00:55,5160.830
01:00,5139.030
01:05,5097.060
01:10,5077.700
01:15,5058.220
01:20,5032.080
01:25,5002.980
01:30,4986.150
01:35,4949.210
01:40,4927.400
01:45,4908.820
01:50,4860.800
01:55,4829.910
02:00,4811.910
02:05,4767.970
02:10,4749.010
02:15,4727.360
02:20,4691.240
02:25,4675.370
02:30,4654.130
02:35,4647.080
02:40,4622.820
02:45,4605.640
02:50,4583.450
02:55,4571.620
03:00,4533.560
03:05,4522.090
03:10,4497.060
03:15,4483.040
03:20,4453.110
03:25,4445.220
03:30,4414.740
03:35,4404.670
03:40,4380.780
03:45,4356.640
03:50,4343.670
03:55,4322.110
04:00,4302.940
04:05,4275.450
04:10,4269.540
04:15,4251.680
04:20,4218.760
04:25,4210.440
04:30,4195.600
04:35,4194.120
04:40,4164.440
04:45,4147.470
04:50,4145.390
04:55,4115.880
05:00,4112.460
05:05,4084.230
05:10,4062.590
05:15,4043.020
05:20,4025.980
05:25,4014.080
05:30,3985.300
05:35,3952.110
05:40,3921.880
05:45,3900.050
05:50,3894.230
05:55,3878.520
06:00,3866.030
06:05,3857.890
06:10,3851.090
06:15,3827.900
06:20,3834.190
06:25,3811.430
06:30,3769.340
06:35,3785.660
06:40,3754.350
06:45,3741.740
06:50,3752.960
06:55,3736.560
07:00,3729.150
07:05,3716.330
07:10,3724.370
07:15,3682.990
07:20,3712.420
07:25,3686.660
07:30,3684.570
07:35,3690.930
07:40,3666.640
07:45,3649.430
07:50,3639.340
07:55,3636.280
08:00,3615.140
08:05,3595.210
08:10,3602.030
08:15,3626.740
08:20,3588.130
08:25,3601.760
08:30,3613.910
08:35,3593.360
08:40,3583.330
08:45,3590.380
08:50,3594.400
08:55,3606.840
09:00,3633.260
09:05,3665.140
09:10,3668.990
09:15,3691.850
09:20,3710.660
09:25,3785.880
09:30,3788.330
09:35,3836.680
09:40,3867.340
09:45,3858.220
09:50,3936.260
09:55,3920.680
10:00,3941.570
10:05,3935.980
10:10,3982.730
10:15,4007.660
10:20,4027.310
10:25,4085.000
10:30,4050.490
10:35,4071.320
10:40,4082.650
10:45,4171.740
10:50,4154.950
10:55,4172.210
11:00,4195.350
11:05,4213.600
11:10,4202.640
11:15,4261.710
11:20,4232.950
11:25,4277.550
11:30,4305.230
11:35,4299.630
11:40,4331.670
11:45,4350.650
11:50,4347.190
11:55,4400.330
12:00,4430.500
12:05,4394.710
12:10,4416.160
12:15,4449.700
12:20,4477.570
12:25,4502.700
12:30,4481.050
12:35,4511.930
12:40,4521.410
12:45,4522.480
12:50,4531.100
12:55,4539.650
13:00,4519.450
13:05,4502.770
13:10,4504.040
13:15,4473.970
13:20,4500.330
13:25,4509.710
13:30,4518.330
13:35,4605.860
13:40,4648.000
13:45,4662.160
13:50,4712.700
13:55,4743.500
14:00,4759.780
14:05,4817.040
14:10,4829.190
14:15,4852.970
14:20,4891.330
14:25,4934.630
14:30,4976.890
14:35,4948.270
14:40,4995.160
14:45,4994.420
14:50,5010.650
14:55,5022.610
15:00,5043.000
15:05,5099.330
15:10,5110.280
15:15,5127.350
15:20,5113.860
15:25,5099.530
15:30,5150.670
15:35,5130.250
15:40,5165.220
15:45,5133.170
15:50,5139.510
15:55,5116.340
16:00,5132.130
16:05,5158.480
16:10,5115.830
16:15,5117.500
16:20,5103.170
16:25,5093.480
16:30,5057.190
16:35,5076.040
16:40,5055.550
16:45,4996.240
16:50,5022.600
16:55,4948.020
17:00,4931.650
17:05,4899.570
17:10,4859.670
17:15,4881.990
17:20,4850.840
17:25,4813.760
17:30,4818.770
17:35,4780.760
17:40,4735.590
17:45,4732.970
17:50,4699.550
17:55,4667.700
18:00,4656.850
18:05,4664.010
18:10,4605.340
18:15,4632.290
18:20,4603.500
18:25,4574.050
18:30,4571.120
18:35,4556.970
18:40,4483.350
18:45,4541.510
18:50,4373.120
18:55,4510.370
19:00,4549.470
19:05,4568.530
19:10,4598.850
19:15,4613.840
19:20,4653.250
19:25,4665.290
19:30,4637.980
19:35,4712.070
19:40,4721.740
19:45,4739.990
19:50,4787.990
19:55,4748.780
20:00,4774.120
20:05,4805.930
20:10,4791.490
20:15,4825.730
20:20,4843.160
20:25,4872.560
20:30,4872.730
20:35,4844.260
20:40,4894.830
20:45,4924.660
20:50,4908.680
20:55,4964.220
21:00,4956.740
21:05,4937.550
21:10,4973.650
21:15,5022.260
21:20,5051.070
21:25,5101.500
21:30,5103.340
21:35,5177.160
21:40,5202.960
21:45,5263.660
21:50,5273.760
21:55,5306.020
22:00,5395.650
22:05,5391.980
22:10,5430.840
22:15,5464.980
22:20,5546.420
22:25,5543.970
22:30,5574.000
22:35,5616.520
22:40,5679.640
22:45,5693.840
22:50,5716.760
22:55,5763.540
23:00,5762.060
23:05,5770.780
23:10,5776.290
23:15,5799.590
23:20,5776.940
23:25,5822.520
23:30,5790.560
23:35,5793.310
23:40,5790.740
23:45,5783.360
