time,value
00:00,6121.620
00:05,6047.650
00:10,6018.050
00:15,6017.970
00:20,5996.740
00:25,5984.140
00:30,5974.610
00:35,5933.770
00:40,5910.620
00:45,5897.940
00:50,5854.280
00:55,5835.230
01:00,5811.380
01:05,5763.210
01:10,5734.420
01:15,5736.170
01:20,5706.680
01:25,5676.410
01:30,5651.510
01:35,5626.700
01:40,5608.040
01:45,5585.540
01:50,5556.190
01:55,5538.320
02:00,5507.140
02:05,5458.200
02:10,5409.730
02:15,5377.700
02:20,5350.280
02:25,5327.790
02:30,5317.920
02:35,5317.970
02:40,5281.860
02:45,5254.550
02:50,5229.470
02:55,5208.800
03:00,5193.920
03:05,5154.620
03:10,5145.010
03:15,5116.440
03:20,5103.010
03:25,5066.740
03:30,5034.480
03:35,5018.640
03:40,5010.270
03:45,4974.230
03:50,4944.280
03:55,4920.760
04:00,4929.000
04:05,4894.670
04:10,4876.280
04:15,4848.300
04:20,4834.270
04:25,4806.210
04:30,4794.040
04:35,4768.600
04:40,4746.580
04:45,4734.700
04:50,4705.040
04:55,4686.860
05:00,4666.800
05:05,4637.940
05:10,4615.030
05:15,4609.270
05:20,4597.570
05:25,4586.230
05:30,4556.170
05:35,4531.470
05:40,4467.870
05:45,4448.820
05:50,4443.450
05:55,4407.430
06:00,4383.260
06:05,4385.500
06:10,4377.560
06:15,4399.400
06:20,4385.460
06:25,4378.360
06:30,4325.830
06:35,4340.210
06:40,4326.260
06:45,4337.210
06:50,4300.360
06:55,4289.270
07:00,4281.910
07:05,4277.700
07:10,4280.900
07:15,4256.870
07:20,4250.110
07:25,4235.280
07:30,4238.020
07:35,4204.670
07:40,4218.330
07:45,4234.070
07:50,4189.780
07:55,4212.330
08:00,4186.030
08:05,4241.290
08:10,4269.720
08:15,4256.800
08:20,4322.670
08:25,4262.310
08:30,4356.330
08:35,4298.880
08:40,4360.470
08:45,4375.720
08:50,4396.280
08:55,4388.360
09:00,4431.420
09:05,4455.760
09:10,4494.960
09:15,4573.360
09:20,4635.530
09:25,4727.670
09:30,4772.200
09:35,4813.180
09:40,4903.280
09:45,4899.050
09:50,5026.580
09:55,5001.770
10:00,5051.210
10:05,5065.280
10:10,5114.610
10:15,5183.590
10:20,5209.560
10:25,5220.950
10:30,5273.160
10:35,5283.000
10:40,5313.350
10:45,5302.800
10:50,5377.500
10:55,5383.180
11:00,5378.750
11:05,5430.230
11:10,5456.120
11:15,5440.330
11:20,5445.100
11:25,5489.600
11:30,5487.320
11:35,5509.680
11:40,5535.840
11:45,5533.900
11:50,5545.620
11:55,5576.220
12:00,5606.070
12:05,5611.410
12:10,5631.700
12:15,5647.600
12:20,5661.590
12:25,5690.300
12:30,5693.740
12:35,5677.740
12:40,5693.410
12:45,5671.920
12:50,5692.680
12:55,5653.960
13:00,5614.620
13:05,5577.150
13:10,5537.510
13:15,5555.000
13:20,5560.900
13:25,5586.870
13:30,5573.320
13:35,5603.250
13:40,5607.910
13:45,5619.000
13:50,5569.440
13:55,5470.230
14:00,5447.850
14:05,5458.850
14:10,5477.350
14:15,5442.080
14:20,5481.410
14:25,5465.500
14:30,5517.050
14:35,5350.400
14:40,5454.730
14:45,5602.280
14:50,5711.660
14:55,5787.190
15:00,5857.650
15:05,5864.700
15:10,5956.490
15:15,5937.020
15:20,5960.370
15:25,6024.600
15:30,6013.320
15:35,5985.490
15:40,5999.000
15:45,5987.440
15:50,5974.850
15:55,5977.030
16:00,5932.580
16:05,5901.620
16:10,5861.560
16:15,5903.770
16:20,5841.210
16:25,5844.350
16:30,5800.140
16:35,5747.840
16:40,5720.290
16:45,5677.750
16:50,5624.190
16:55,5587.150
17:00,5569.960
17:05,5492.070
17:10,5398.810
17:15,5351.140
17:20,5336.720
17:25,5235.430
17:30,5150.350
17:35,5070.490
17:40,5019.670
17:45,4894.610
17:50,4844.360
17:55,4697.670
18:00,4593.750
18:05,4477.470
18:10,4401.480
18:15,4321.430
18:20,4296.260
18:25,4247.760
18:30,4244.170
18:35,4171.530
18:40,4140.210
18:45,4123.630
18:50,4127.330
18:55,4092.050
19:00,4096.670
19:05,4104.680
19:10,4071.230
19:15,4115.230
19:20,4140.430
19:25,4098.500
19:30,4077.420
19:35,4081.020
19:40,4089.610
19:45,4065.280
19:50,4044.730
19:55,4067.200
20:00,4043.920
20:05,4033.440
20:10,4007.910
20:15,3988.690
20:20,4028.790
20:25,4013.120
20:30,3984.880
20:35,3981.940
20:40,3982.080
20:45,4035.330
20:50,3978.450
20:55,4022.260
21:00,4000.930
21:05,3964.670
21:10,4004.940
21:15,3992.810
21:20,4020.760
21:25,4044.990
21:30,4040.170
21:35,4082.460
21:40,4080.900
21:45,4111.960
21:50,4141.180
21:55,4173.720
22:00,4203.460
22:05,4218.920
22:10,4225.100
22:15,4272.090
22:20,4287.000
22:25,4278.990
22:30,4314.020
22:35,4364.620
22:40,4393.600
22:45,4403.420
22:50,4447.030
22:55,4431.950
23:00,4461.600
23:05,4469.450
23:10,4494.600
23:15,4520.970
23:20,4498.050
23:25,4529.720
23:30,4511.310
23:35,4479.860
23:40,4503.390
23:45,4507.170
