time,value
00:00,5967.790
00:05,5932.690
00:10,5915.970
00:15,5908.670
00:20,5867.060
00:25,5842.440
00:30,5839.330
00:35,5799.020
00:40,5782.090
00:45,5753.790
00:50,5723.560
00:55,5706.790
01:00,5682.100
01:05,5656.970
01:10,5626.910
01:15,5588.400
01:20,5573.820
01:25,5544.660
01:30,5526.310
01:35,5490.000
01:40,5464.440
01:45,5433.200
01:50,5416.330
01:55,5380.080
02:00,5355.100
02:05,5300.820
02:10,5280.280
02:15,5259.400
02:20,5239.850
02:25,5201.940
02:30,5187.650
02:35,5177.280
02:40,5163.350
02:45,5117.660
02:50,5101.390
02:55,5078.840
03:00,5056.810
03:05,5037.750
03:10,5002.100
03:15,4998.790
03:20,4961.440
03:25,4951.290
03:30,4922.700
03:35,4899.740
03:40,4877.070
03:45,4878.080
03:50,4839.120
03:55,4808.520
04:00,4804.680
04:05,4782.670
04:10,4745.620
04:15,4738.650
04:20,4733.360
04:25,4721.010
04:30,4703.670
04:35,4683.540
04:40,4672.780
04:45,4658.800
04:50,4631.950
04:55,4609.080
05:00,4611.710
05:05,4590.630
05:10,4590.930
05:15,4553.980
05:20,4539.890
05:25,4516.090
05:30,4481.000
05:35,4461.960
05:40,4432.840
05:45,4398.740
05:50,4355.460
05:55,4347.780
06:00,4317.320
06:05,4309.890
06:10,4305.880
06:15,4283.820
06:20,4287.830
06:25,4297.440
06:30,4239.450
06:35,4250.950
06:40,4256.870
06:45,4216.540
06:50,4197.750
06:55,4190.050
07:00,4163.900
07:05,4158.270
07:10,4162.210
07:15,4130.220
07:20,4136.430
07:25,4088.560
07:30,4111.090
07:35,4088.810
07:40,4089.580
07:45,4084.400
07:50,4079.010
07:55,4051.070
08:00,4075.910
08:05,4118.020
08:10,4097.880
08:15,4111.500
08:20,4133.220
08:25,4119.670
08:30,4162.220
08:35,4136.970
08:40,4095.980
08:45,4167.560
08:50,4163.200
08:55,4176.980
09:00,4244.060
09:05,4268.870
09:10,4296.660
09:15,4379.420
09:20,4438.950
09:25,4501.710
09:30,4533.910
09:35,4601.760
09:40,4666.880
09:45,4717.590
09:50,4763.470
09:55,4802.590
10:00,4787.050
10:05,4797.030
10:10,4919.790
10:15,4910.230
10:20,4940.580
10:25,4943.240
10:30,5009.270
10:35,5055.950
10:40,5066.150
10:45,5080.580
10:50,5105.090
10:55,5155.460
11:00,5082.280
11:05,5137.180
11:10,5166.310
11:15,5125.650
11:20,5175.070
11:25,5213.120
11:30,5189.450
11:35,5177.440
11:40,5278.480
11:45,5283.100
11:50,5256.750
11:55,5259.250
12:00,5289.520
12:05,5330.540
12:10,5328.590
12:15,5347.170
12:20,5334.120
12:25,5370.230
12:30,5411.230
12:35,5401.100
12:40,5404.740
12:45,5425.000
12:50,5416.200
12:55,5397.360
13:00,5341.410
13:05,5303.610
13:10,5289.770
13:15,5249.330
13:20,5324.070
13:25,5310.830
13:30,5360.230
13:35,5408.770
13:40,5438.450
13:45,5486.870
13:50,5563.190
13:55,5597.610
14:00,5616.850
14:05,5652.250
14:10,5664.360
14:15,5777.320
14:20,5819.590
14:25,5847.660
14:30,5900.770
14:35,5932.890
14:40,5970.430
14:45,6018.690
14:50,5998.700
14:55,6079.490
15:00,6089.690
15:05,6091.670
15:10,6092.420
15:15,6124.030
15:20,6141.140
15:25,6092.330
15:30,6135.890
15:35,6112.190
15:40,6130.620
15:45,6124.560
15:50,6089.430
15:55,6081.280
16:00,6100.060
16:05,6098.420
16:10,6069.360
16:15,6040.850
16:20,6048.090
16:25,6040.060
16:30,6013.310
16:35,5940.390
16:40,5937.630
16:45,5927.160
16:50,5890.560
16:55,5839.360
17:00,5823.490
17:05,5804.560
17:10,5793.250
17:15,5777.490
