time,value
00:00,5748.790
00:05,5722.770
00:10,5698.570
00:15,5678.460
00:20,5659.300
00:25,5650.060
00:30,5616.000
00:35,5594.620
00:40,5577.400
00:45,5550.620
00:50,5515.220
00:55,5502.820
01:00,5462.310
01:05,5435.940
01:10,5413.300
01:15,5396.350
01:20,5357.460
01:25,5346.110
01:30,5298.680
01:35,5284.600
01:40,5271.600
01:45,5234.060
01:50,5204.540
01:55,5188.890
02:00,5157.080
02:05,5110.920
02:10,5086.990
02:15,5056.710
02:20,5017.310
02:25,5018.860
02:30,4987.620
02:35,4959.570
02:40,4946.350
02:45,4921.210
02:50,4890.630
02:55,4880.080
03:00,4827.890
03:05,4824.290
03:10,4806.540
03:15,4770.700
03:20,4746.290
03:25,4730.230
03:30,4701.860
03:35,4685.130
03:40,4658.140
03:45,4635.600
03:50,4623.150
03:55,4591.320
04:00,4578.410
04:05,4537.050
04:10,4525.930
04:15,4498.890
04:20,4501.710
04:25,4469.490
04:30,4456.860
04:35,4427.540
04:40,4431.440
04:45,4399.750
04:50,4386.710
04:55,4363.130
05:00,4350.340
05:05,4335.780
05:10,4303.510
05:15,4320.070
05:20,4270.540
05:25,4256.400
05:30,4229.430
05:35,4203.030
05:40,4188.380
05:45,4135.980
05:50,4130.990
05:55,4115.090
06:00,4131.680
06:05,4098.260
06:10,4109.380
06:15,4104.930
06:20,4135.710
06:25,4105.390
06:30,4106.770
06:35,4073.260
06:40,4086.370
06:45,4079.950
06:50,4070.870
06:55,4044.040
07:00,4056.540
07:05,4025.230
07:10,4014.990
07:15,4014.730
07:20,4004.190
07:25,3999.910
07:30,3985.370
07:35,3982.590
07:40,3963.490
07:45,3936.140
07:50,3972.230
07:55,3985.670
08:00,3991.370
08:05,3984.380
08:10,4027.750
08:15,3982.340
08:20,4053.180
08:25,4040.960
08:30,4041.390
08:35,4101.410
08:40,4119.950
08:45,4110.150
08:50,4128.360
08:55,4134.460
09:00,4155.900
09:05,4208.510
09:10,4260.130
09:15,4310.420
09:20,4375.910
09:25,4418.420
09:30,4377.800
09:35,4394.860
09:40,4439.920
09:45,4455.630
09:50,4635.140
09:55,4663.510
10:00,4717.810
10:05,4760.750
10:10,4773.010
10:15,4828.440
10:20,4862.180
10:25,4889.400
10:30,4860.760
10:35,4945.650
10:40,4997.200
10:45,4972.050
10:50,5021.180
10:55,5005.060
11:00,5020.350
11:05,5066.030
11:10,5073.940
11:15,5124.640
11:20,5092.760
11:25,5119.900
11:30,5173.280
11:35,5168.040
11:40,5077.980
11:45,5089.510
11:50,5217.540
11:55,5225.960
12:00,5188.270
12:05,5204.730
12:10,5247.310
12:15,5242.830
12:20,5289.230
12:25,5274.100
12:30,5288.200
12:35,5316.070
12:40,5298.680
12:45,5323.880
12:50,5334.770
12:55,5343.690
13:00,5293.330
13:05,5238.950
13:10,5237.960
13:15,5244.630
13:20,5239.460
13:25,5268.550
13:30,5285.860
13:35,5329.470
13:40,5334.660
13:45,5418.360
13:50,5473.250
13:55,5483.900
14:00,5549.530
14:05,5606.840
14:10,5622.110
14:15,5698.310
14:20,5714.210
14:25,5732.200
14:30,5816.150
14:35,5877.470
14:40,5847.220
14:45,5922.600
14:50,5952.340
14:55,5933.840
15:00,5991.130
15:05,6030.140
15:10,6022.170
15:15,6029.140
15:20,6034.760
15:25,6056.310
15:30,6024.960
15:35,6045.670
15:40,6026.540
15:45,6047.210
15:50,6056.220
15:55,6051.390
16:00,6011.300
16:05,6023.710
16:10,5975.740
16:15,5952.220
16:20,5943.800
16:25,5939.150
16:30,5898.010
16:35,5905.330
16:40,5834.540
16:45,5864.100
16:50,5812.930
16:55,5661.900
17:00,5610.610
17:05,5610.190
17:10,5558.640
17:15,5516.850
17:20,5515.740
17:25,5619.560
17:30,5586.800
17:35,5536.560
17:40,5495.460
17:45,5446.170
17:50,5425.290
17:55,5348.210
18:00,5310.490
18:05,5257.390
18:10,5204.220
18:15,5233.640
18:20,5200.920
18:25,5127.970
18:30,5160.160
18:35,5118.640
18:40,5060.470
18:45,5085.810
18:50,5027.050
18:55,5043.910
19:00,5070.560
19:05,5069.660
19:10,5086.940
19:15,5122.660
19:20,5111.350
19:25,5123.620
19:30,5125.800
19:35,5161.480
19:40,5135.170
19:45,5165.460
19:50,5180.980
19:55,5203.260
20:00,5179.130
20:05,5157.200
20:10,5166.260
20:15,5152.840
20:20,5203.980
20:25,5170.560
20:30,5221.540
20:35,5200.560
20:40,5219.410
20:45,5196.850
20:50,5245.920
20:55,5248.870
21:00,5223.590
21:05,5222.380
21:10,5229.640
21:15,5292.220
21:20,5318.700
21:25,5382.520
21:30,5373.750
21:35,5426.580
21:40,5469.560
21:45,5525.420
21:50,5555.830
21:55,5594.100
22:00,5640.300
22:05,5685.730
22:10,5732.520
22:15,5743.730
22:20,5798.350
22:25,5822.670
22:30,5871.170
22:35,5929.590
22:40,5952.430
22:45,5987.000
22:50,6001.390
22:55,6023.490
23:00,6057.310
23:05,6088.830
23:10,6140.270
23:15,6059.490
23:20,6031.470
23:25,6041.040
23:30,6037.860
23:35,6040.000
23:40,6024.810
23:45,6014.320
23:50,5984.850
23:55,5969.900
