time,value
00:00,5958.430
00:05,5912.410
00:10,5879.620
00:15,5941.350
00:20,5904.230
00:25,5876.450
00:30,5843.370
00:35,5820.230
00:40,5787.050
00:45,5666.500
00:50,5646.330
00:55,5612.390
01:00,5642.870
01:05,5612.060
01:10,5589.560
01:15,5546.840
01:20,5528.620
01:25,5494.590
01:30,5477.510
01:35,5443.820
01:40,5425.430
01:45,5395.010
01:50,5360.960
01:55,5336.130
02:00,5302.560
02:05,5271.320
02:10,5241.850
02:15,5214.500
02:20,5186.620
02:25,5157.120
02:30,5147.300
02:35,5106.260
02:40,5090.700
02:45,5064.110
02:50,5035.610
02:55,5010.670
03:00,4992.380
03:05,4973.200
03:10,4950.760
03:15,4934.530
03:20,4908.100
03:25,4895.930
03:30,4880.690
03:35,4852.120
03:40,4830.250
03:45,4810.650
03:50,4791.850
03:55,4756.650
04:00,4737.050
04:05,4713.550
04:10,4706.630
04:15,4682.830
04:20,4665.850
04:25,4635.670
04:30,4643.590
04:35,4612.770
04:40,4592.720
04:45,4567.840
04:50,4560.320
04:55,4538.140
05:00,4532.250
05:05,4525.960
05:10,4490.090
05:15,4480.040
05:20,4463.210
05:25,4417.040
05:30,4399.770
05:35,4376.430
05:40,4339.030
05:45,4314.090
05:50,4301.500
05:55,4292.060
06:00,4301.250
06:05,4277.320
06:10,4279.520
06:15,4285.940
06:20,4289.900
06:25,4305.880
06:30,4250.890
06:35,4258.360
06:40,4250.360
06:45,4252.470
06:50,4245.970
06:55,4236.130
07:00,4227.450
07:05,4216.820
07:10,4204.730
07:15,4167.120
07:20,4171.690
07:25,4171.590
07:30,4188.610
07:35,4162.680
07:40,4165.610
07:45,4122.430
07:50,4140.400
07:55,4152.900
08:00,4170.390
08:05,4183.380
08:10,4141.450
08:15,4140.500
08:20,4226.050
08:25,4241.950
08:30,4239.160
08:35,4267.380
08:40,4298.430
08:45,4323.030
08:50,4266.120
08:55,4332.420
09:00,4354.670
09:05,4381.440
09:10,4441.830
09:15,4528.570
09:20,4561.870
09:25,4634.350
09:30,4720.140
09:35,4732.290
09:40,4787.900
09:45,4818.550
09:50,4875.750
09:55,4913.430
10:00,4993.290
10:05,4957.060
10:10,5026.650
10:15,5051.310
10:20,5067.670
10:25,5090.860
10:30,5154.500
10:35,5163.420
10:40,5168.220
10:45,5258.120
10:50,5220.700
10:55,5310.080
11:00,5330.140
11:05,5335.760
11:10,5382.720
11:15,5363.610
11:20,5410.040
11:25,5415.870
11:30,5453.990
11:35,5476.760
11:40,5478.910
11:45,5530.870
11:50,5536.220
11:55,5557.520
12:00,5527.560
12:05,5580.390
12:10,5557.600
12:15,5543.960
12:20,5642.320
12:25,5611.980
12:30,5675.250
12:35,5659.790
12:40,5668.600
12:45,5677.160
12:50,5700.240
12:55,5721.470
13:00,5694.380
13:05,5673.310
13:10,5660.180
13:15,5713.560
13:20,5706.750
13:25,5728.640
13:30,5721.260
13:35,5795.910
13:40,5818.420
13:45,5852.670
13:50,5922.010
13:55,5953.780
14:00,5983.670
14:05,6060.870
14:10,6099.410
14:15,6142.880
14:20,6183.410
14:25,6243.640
14:30,6290.920
14:35,6300.940
14:40,6362.710
14:45,6393.840
14:50,6413.340
